smiles,idnumber,MW,HAC,sLogP,HBA,HBD,RotBonds,FSP3,TPSA,QED
O=C(O)C1CCN(C(=O)OCC2C3=CC=CC=C3C3=CC=CC=C32)CC1C(=O)O,Z1805585935,395.411,29,3.043,4,2,4,0.318,104.14,0.825
O=C(N[C@H](COCC1=CC=CC=C1)C(=O)O)OCC1C2=CC=CC=C2C2=CC=CC=C21,Z1982491160,417.461,31,4.195,4,2,8,0.2,84.86,0.574
O=C(N[C@H](CC1=CC=CC=N1)C(=O)O)OCC1C2=CC=CC=C2C2=CC=CC=C21,Z1982491163,388.423,29,3.616,4,2,6,0.174,88.52,0.673
CC(C)(C)OC(=O)C[C@@H](NC(=O)OCC1C2=CC=CC=C2C2=CC=CC=C21)C(=O)O,Z1741982875,411.454,30,3.71,5,2,6,0.348,101.93,0.703
O=C(N[C@@H](COCC1=CC=CC=C1)C(=O)O)OCC1C2=CC=CC=C2C2=CC=CC=C21,Z1982491142,417.461,31,4.195,4,2,8,0.2,84.86,0.574
O=C(NC(CC1=CN=C2C=CC=CC2=C1)C(=O)O)OCC1C2=CC=CC=C2C2=CC=CC=C21,Z3570595206,438.483,33,4.769,4,2,6,0.148,88.52,0.453
O=C(N[C@H](CC1=CC=NC=C1)C(=O)O)OCC1C2=CC=CC=C2C2=CC=CC=C21,Z1982491140,388.423,29,3.616,4,2,6,0.174,88.52,0.673
CC(C)(C(=O)O)C1CCCN(C(=O)OCC2C3=CC=CC=C3C3=CC=CC=C32)C1,Z2527705538,393.483,29,4.758,3,1,4,0.417,66.84,0.813
CC1=NN(C)C=C1C(NC(=O)OCC1C2=CC=CC=C2C2=CC=CC=C21)C(=O)O,Z3335411519,391.427,29,3.393,5,2,5,0.227,93.45,0.695
CC1=NN(C)C=C1CC(NC(=O)OCC1C2=CC=CC=C2C2=CC=CC=C21)C(=O)O,Z3570186696,405.454,30,3.263,5,2,6,0.261,93.45,0.657
O=C(NC(CC(=O)C1=CC=CC=C1)C(=O)O)OCC1C2=CC=CC=C2C2=CC=CC=C21,Z2527705935,415.445,31,4.251,4,2,7,0.16,92.7,0.563
O=C(NC(CC(=O)C1=CC=CS1)C(=O)O)OCC1C2=CC=CC=C2C2=CC=CC=C21,Z1805585671,421.474,30,4.313,5,2,7,0.174,92.7,0.555
CC(C)(C)C(=O)CC(NC(=O)OCC1C2=CC=CC=C2C2=CC=CC=C21)C(=O)O,Z2527705950,395.455,29,3.984,4,2,6,0.348,92.7,0.772
O=C(O)CC1=CC=CC=C1CNC(=O)OCC1C2=CC=CC=C2C2=CC=CC=C21,Z1805585535,387.435,29,4.352,3,2,6,0.167,75.63,0.659
CC(C)(C)OC(=O)N1CCC2=CC=CC(CNCC(=O)NCC3=CC=CC=C3)=C21,Z1408146976,395.503,29,3.39,4,2,6,0.391,70.67,0.787
O=C(O)CC1CS(=O)(=O)CCN1C(=O)OCC1C2=CC=CC=C2C2=CC=CC=C21,Z1805585923,415.467,29,2.509,5,1,4,0.333,100.98,0.823
O=C(NC(C(=O)O)C1CCOC2(CCC2)C1)OCC1C2=CC=CC=C2C2=CC=CC=C21,Z1805585967,421.493,31,4.328,4,2,5,0.44,84.86,0.751
CC(C)(C)OC(=O)NC1=CC=C2C(=C1)CCC2NCC(=O)NCC1=CC=CC=C1,Z1620404581,395.503,29,3.927,4,3,6,0.391,79.46,0.692
CC1=C(C(NC(=O)OCC2C3=CC=CC=C3C3=CC=CC=C32)C(=O)O)C=NN1C,Z1828005452,391.427,29,3.393,5,2,5,0.227,93.45,0.695
CC1=C(CC(NC(=O)OCC2C3=CC=CC=C3C3=CC=CC=C32)C(=O)O)C=NN1C,Z1805585562,405.454,30,3.263,5,2,6,0.261,93.45,0.657
CC(CC1CCCN1C(=O)OC(C)(C)C)NC1CCN(CC2=CC=CC=C2)CC1,Z1478266202,401.595,29,4.419,4,1,6,0.708,44.81,0.766
CC1=CC=CC(CC(NC(=O)OCC2C3=CC=CC=C3C3=CC=CC=C32)C(=O)O)=N1,Z3908464547,402.45,30,3.924,4,2,6,0.208,88.52,0.652
O=C(O)C1=CN(C2CN(C(=O)OCC3C4=CC=CC=C4C4=CC=CC=C43)C2)N=N1,Z2380372082,390.399,29,2.782,6,1,4,0.238,97.55,0.736
O=C(NC(CC1=CNC2=NC=CC=C12)C(=O)O)OCC1C2=CC=CC=C2C2=CC=CC=C21,Z1805585379,427.46,32,4.097,4,3,6,0.16,104.31,0.43
CC(C)(C)OC(=O)C[C@H](NC(=O)OCC1C2=CC=CC=C2C2=CC=CC=C21)C(=O)O,Z1741982874,411.454,30,3.71,5,2,6,0.348,101.93,0.703
COC1=CC(S(=O)(=O)N(CC2=CC=CC=C2)CC2=CC=CC=C2)=CC(C(=O)O)=C1OC,Z740150352,441.505,31,3.793,5,1,9,0.174,93.14,0.543
CC(C)(C)OC(=O)NCC1=CC=C(C(=O)NC2CCN(CC3=CC=CC=C3)CC2)C=C1,Z116520150,423.557,31,4.106,4,2,6,0.44,70.67,0.734
O=C(O)CC(NC(=O)OCC1C2=CC=CC=C2C2=CC=CC=C21)C1=CN(C2=CC=CC=C2)N=C1,Z2788438391,453.498,34,4.927,5,2,7,0.148,93.45,0.414
O=C(NC(CC1=CC=C2OCCCOC2=C1)C(=O)O)OCC1C2=CC=CC=C2C2=CC=CC=C21,Z2788907736,459.498,34,4.382,5,2,6,0.259,94.09,0.568
CC(C)(C)OC(=O)N1CCC(NC2=CC=C3CCN(C(=O)OC(C)(C)C)CC3=C2)CC1,Z1910308287,431.577,31,4.791,5,1,2,0.667,71.11,0.729
CC1(CNC2CC3CCC(C2)N3C(=O)OC(C)(C)C)CCN(C(=O)OC(C)(C)C)CC1,Z1653850402,437.625,31,4.544,5,1,3,0.917,71.11,0.702
CC(C)(C)OC(=O)N1CCC(N2C=C(NC3CCN(C(=O)OC(C)(C)C)C3)C=N2)CC1,Z1671418950,435.569,31,3.876,7,1,3,0.773,88.93,0.775
CC(C)(C)OC(=O)NC1CC(NC2=CN(C3CCN(C(=O)OC(C)(C)C)CC3)N=C2)C1,Z2162729370,435.569,31,3.923,7,2,4,0.773,97.72,0.744
CC(C)(C)OC(=O)N1CC2=CC=C(CNCC3=CN(CC4=CC=CC=C4)N=C3)C=C2C1,Z1765170175,418.541,31,4.472,5,1,6,0.36,59.39,0.642
CC(C)(C)OC(=O)N1CC2=CC=C(CNC3CCN(CC4=CC=CC=C4)CC3)C=C2C1,Z1765172157,421.585,31,4.692,4,1,5,0.5,44.81,0.761
CC(C)(C)OC(=O)N1CCC(NCC2=CC=C3CN(C(=O)OC(C)(C)C)CC3=C2)CC1,Z1765169669,431.577,31,4.426,5,1,3,0.667,71.11,0.767
CC1(CNC2CC3CCC(C2)N3C(=O)OC(C)(C)C)CCCN(C(=O)OC(C)(C)C)C1,Z1653852919,437.625,31,4.544,5,1,3,0.917,71.11,0.702
CC(C)(CNC1=CN(C2CCN(C(=O)OC(C)(C)C)CC2)N=C1)NC(=O)OC(C)(C)C,Z1675885875,437.585,31,4.17,7,2,5,0.773,97.72,0.717
CC(C)(C)OC(=O)NC(CC1=CC=CC=C1)C(=O)NC1CCCN(CC2=CC=CC=C2)C1,Z748896034,437.584,32,3.903,4,2,7,0.462,70.67,0.689
CC(C)(C)OC(=O)N1CCCC(CNCC2CN(CC3=CC=CC=C3)CCO2)C1,Z1232932792,403.567,29,3.124,5,1,6,0.696,54.04,0.791
O=C(OCC1=CC=CC=C1)N1CCC(NC2=CC=C(CN3CCOCC3)C=C2)CC1,Z1930708188,409.53,30,3.732,5,1,6,0.458,54.04,0.788
COC1=CC(CNC2CCN(C(=O)OCC3=CC=CC=C3)CC2)=CC(OC)=C1OC,Z1930474676,414.502,30,3.603,6,1,8,0.435,69.26,0.712
COC1=CC=CC(C(CNC2CCN(C(=O)OCC3=CC=CC=C3)CC2)N(C)C)=C1,Z1930469682,411.546,30,3.689,5,1,8,0.458,54.04,0.718
O=C(OCC1=CC=CC=C1)N1CCC(NCC2=CC=C(N3CCCC3=O)C=C2)CC1,Z1930476160,407.514,30,3.704,4,1,6,0.417,61.88,0.793
CCN(CC)C(=O)C1=CC=CC(NC2CCN(C(=O)OCC3=CC=CC=C3)CC2)=C1,Z1930706773,409.53,30,4.382,4,1,7,0.417,61.88,0.737
CCC(C)N1C(SCC(=O)NC2=CC=C3NC(=O)NC3=C2)=NC2=C(C3=C(CCCC3)S2)C1=O,Z13886675,483.619,33,4.208,7,3,6,0.391,112.64,0.281
CC(=O)CC(C)(C)CC(=O)NC1=CC=CC=C1N1CCN(C(=O)OCC(C)C)CC1,Z1824506307,417.55,30,3.935,5,1,8,0.609,78.95,0.693
CC(OC1=CC=C(C(=O)N2CCCC3=C(S(C)(=O)=O)C=CC=C32)C=C1)C1=CC=CC=C1,Z1824016903,435.545,31,4.823,4,0,5,0.24,63.68,0.576
CC1=CC(C(=O)N2CCSCC2)=CC=C1NC(=O)CC1CCC2(CC1)OCCO2,Z1822707941,418.559,29,3.446,5,1,4,0.636,67.87,0.811
CC1=NC2=CC(C(=O)N(C)CC3OCCC4=CC=CC=C43)=CC=C2N1CC1=CSC=C1,Z1824016755,431.561,31,4.841,5,0,5,0.28,47.36,0.454
CCN1C=C(C(=O)NCC(=O)NC2=CC=CC3=CC=CC=C23)C(C2=CN(C)N=C2)=N1,Z1824016658,402.458,30,2.825,6,2,6,0.182,93.84,0.519
CC1=CC=C(C)C(N2C=NC3=CC(C(=O)NCC(=O)N(C)CC4=CC=NC=C4)=CC=C32)=C1,Z1824505971,427.508,32,3.426,5,1,6,0.2,80.12,0.511
CC(OC1=CC=C(C(=O)NCC(=O)N(C)CC2=CC=NC=C2)C=C1)C1=CC=CC=C1,Z1824505977,403.482,30,3.61,4,1,8,0.208,71.53,0.624
CC1=CC=C(CCS(=O)(=O)N(C)CCC2CCN(C3CCN(C)CC3)CC2)C=C1,Z2000890202,421.651,29,2.995,4,0,8,0.739,43.86,0.647
CCOC1=CC=CC(S(=O)(=O)N(C)CCC2CCN(C3CCN(C)CC3)CC2)=C1,Z2000890186,423.623,29,2.902,5,0,8,0.727,53.09,0.644
CCC(C)N1C(SCC(=O)NC(=O)NCC2=CC=CO2)=NC2=C(C3=C(CCCC3)S2)C1=O,Z13889333,474.608,32,4.019,8,2,7,0.455,106.23,0.396
CCC(C)N1C(SCC(=O)NC(=O)NC2CCCC2)=NC2=C(C3=C(CCCC3)S2)C1=O,Z13889280,462.641,31,4.168,7,2,6,0.636,93.09,0.496
CC1=C(NC(=O)CCC2=CC=C3OCOC3=C2)C=CC=C1NC(=O)C1=CC=CC=C1,Z739149676,402.45,30,4.547,4,2,6,0.167,76.66,0.634
CC1=C(NC(=O)CCC2=CC=C(C#N)C=C2)C=CC=C1NC(=O)C1=CC=CC=C1,Z739149760,383.451,29,4.69,3,2,6,0.125,81.99,0.648
CN(CC1=CC=CC=C1)S(=O)(=O)C1=CC=C(Cl)C(C(=O)OCC2=NOC(C3CC3)=N2)=C1,Z847218534,461.927,31,3.778,7,0,8,0.286,102.6,0.47
CCCCC1=NC(COC(=O)C2=CC(S(=O)(=O)N(C)CC3=CC=CC=C3)=CC=C2Cl)=NO1,Z847218532,477.97,32,4.243,7,0,10,0.318,102.6,0.402
O=C(NCC1(O)CCS(=O)(=O)CC1)C1CN(C(=O)C2=CC=CO2)C2=CC=CC=C2O1,Z1286061339,434.47,30,0.743,7,2,4,0.4,126.15,0.727
COC1=CC=C(S(=O)(=O)NC2=NC=C(CC3=CC=C(C)C(C)=C3)S2)C=C1C(N)=O,Z741266808,431.539,29,3.259,6,2,7,0.2,111.38,0.596
CC1=NC2=CC(C(=O)NCC(=O)N(C)CC3=CC=NC=C3)=CC=C2N1CC1=CSC=C1,Z1824505973,433.537,31,3.238,6,1,7,0.217,80.12,0.485
CN(C)C(CNC(=O)CSC1=NN=C(C2=CC=C(F)C=C2)N1C1=CC=CC=C1)C1=CC=CO1,Z31953256,465.554,33,4.178,7,1,9,0.208,76.19,0.374
CC(=O)NC1=CC=C(S(=O)(=O)NC2=NC=C(CC3=CC=C(C)C(C)=C3)S2)C(F)=C1,Z741266802,433.53,29,4.249,5,2,6,0.2,88.16,0.608
CN(C)C(CNC(=O)CCNC(=O)NC12CC3CC(CC(C3)C1)C2)C1=CC=CO1,Z31953247,402.539,29,2.657,4,3,8,0.727,86.61,0.624
COC1=CC(NC(=O)CN(C)S(=O)(=O)C2=CC=CC3=C2OC(C)(C)C3)=CC(OC)=C1,Z2000886947,434.514,30,2.677,6,1,7,0.381,94.17,0.72
CN(C(=O)OC(C)(C)C)C1CCN(S(=O)(=O)C2=CC=C(C(F)(F)F)C(C#N)=C2)C1,Z2000885002,433.452,29,3.207,5,0,3,0.556,90.71,0.73
CC1=CSC(C2=CC(S(=O)(=O)N3CCC(N(C)C(=O)OC(C)(C)C)C3)=CC=C2)=N1,Z2000884993,437.587,29,3.748,6,0,4,0.5,79.81,0.728
CC1CN(CC2=CC=CC=C2)CCC1NS(=O)(=O)C1=CC=C(C(F)(F)F)C(C#N)=C1,Z2000881563,437.487,30,3.766,4,1,5,0.381,73.2,0.773
CC1=CSC(C2=CC(S(=O)(=O)NC3CCN(CC4=CC=CC=C4)CC3C)=CC=C2)=N1,Z2000881555,441.622,30,4.307,5,1,6,0.348,62.3,0.619
CC1=NC2=CC(C(=O)NCCC(=O)NC3=CC=CN=C3)=CC=C2N1CC1=CSC=C1,Z1824505928,419.51,30,3.608,6,2,7,0.182,88.91,0.479
COC1=CC=C(C(=O)NCC(=O)NC2=CC=CC3=CC=CC=C23)C(OCC2CC2)=C1,Z1824016659,404.466,30,4.006,4,2,8,0.25,76.66,0.595
COC1=CC=C(F)C(C(=O)N2CCC(C(=O)NC3=CC=C(C#N)C=C3)CC2)=C1OC,Z1824016723,411.433,30,3.205,5,1,5,0.318,91.66,0.816
CCOC(=O)C1=CC=C(N2CCCN(C(=O)NC3=CC(Cl)=C(OC)C=C3OC)CC2)N=C1,Z991979636,462.934,32,3.673,7,1,6,0.409,93.23,0.654
CCC(C)N1C(SCC2=CC(=O)N3C(C)=CSC3=N2)=NC2=C(C3=C(CCCC3)S2)C1=O,Z13892112,472.661,31,4.978,9,0,5,0.455,69.26,0.303
CCN1C(=O)N(CC(=O)NC2=CC=CC(NC(=O)C3=CC=CC=C3)=C2C)C2=CC=CC=C21,Z739149844,428.492,32,4.022,5,2,6,0.16,85.13,0.486
CC1=C(S(=O)(=O)N2CCCC2)C=C(C(=O)NC(C)C2=C(C)C3=CC=CC=C3O2)O1,Z512221446,416.499,29,3.918,5,1,5,0.381,92.76,0.681
COC1=CC=C(CCC(=O)NC2=CC=CC(NC(=O)C3=CC=CC=C3)=C2C)C=C1F,Z739149638,406.457,30,4.966,3,2,7,0.167,67.43,0.582
CC1=C(NC(=O)CCC2=CC=C3OCCOC3=C2)C=CC=C1NC(=O)C1=CC=CC=C1,Z739149674,416.477,31,4.59,4,2,6,0.2,76.66,0.616
CC1=CC=CC=C1C1(C(=O)N2CCC(C(=O)NC3=CC=C(C#N)C=C3)CC2)CCC1,Z1824016724,401.51,30,4.166,3,1,4,0.4,73.2,0.836
CCN1C=C(C(=O)NCCC2=CC=C(OC)C(OC(F)F)=C2)C(C2=CN(C)N=C2)=N1,Z1824016705,419.432,30,2.886,7,1,9,0.35,83.2,0.577
CCCC1=CC(C(=O)N2CCC(C(=O)NC3=CC=C(C#N)C=C3)CC2)=CC=C1Cl,Z1824016729,409.917,29,4.655,3,1,5,0.348,73.2,0.78
CCN1C=C(C(=O)N2CCC(C(=O)NC3=CC=C(C#N)C=C3)CC2)C(C2=CN(C)N=C2)=N1,Z1824016728,431.5,32,2.666,7,1,5,0.348,108.84,0.668
N#CC1=CC=C(NC(=O)C2CCN(C(=O)CC3CCC4(CC3)OCCO4)CC2)C=C1,Z1824016727,411.502,30,3.059,5,1,4,0.609,91.66,0.822
COC1=CC=C(C(=O)N2CCC(C(=O)NC3=CC=C(C#N)C=C3)CC2)C(OCC2CC2)=C1,Z1824016730,433.508,32,3.847,5,1,7,0.4,91.66,0.716
CCN1C=C(C(=O)NCCC(=O)N(C)CC2=CC=CC=C2)C(C2=CN(C)N=C2)=N1,Z1824016717,394.479,29,2.082,6,1,8,0.333,85.05,0.634
COC1=CC=C(C(=O)NCCC(=O)N(C)CC2=CC=CC=C2)C(OCC2CC2)=C1,Z1822936827,396.487,29,3.263,4,1,10,0.391,67.87,0.669
O=C(NCCC1=CC=C(C(F)(F)F)C=C1)C1=NN2C3=CC=CC=C3S(=O)(=O)NC2=N1,Z1170280803,437.403,30,2.373,6,2,4,0.167,105.98,0.652
CC1=NN(C2=CC=C(F)C=C2)C(Cl)=C1C(=O)NCCC1=CC=C(C(F)(F)F)C=C1,Z26634074,425.813,29,4.965,3,1,5,0.2,46.92,0.587
CCNC(=O)C1=CC=C(C)C(NC(=O)C2=CC3=CC=CC=C3N=C2N2CCCC2)=C1,Z1090354388,402.498,30,4.145,4,2,5,0.292,74.33,0.672
CC1=NN(C2=CC(C(F)(F)F)=CC=C2Cl)C(NC(=O)C2=CC=CN=C2N(C)C)=C1,Z764690944,423.826,29,4.566,5,1,4,0.211,63.05,0.668
